Timestamp,Are you measuring with or without the aid of blocks?,What is the length of the bolt L in millimeters?,What is the diameter of the bolt D in millimeters?,What is the thread pitch P in millimeters,"Enter a code name or pseudonym so we can link measurements to individuals without knowing their actual name.  Also, you will be able to find your measurements later."
12-18-2022 11:30:45,With Blocks,75.02961712,15.12007829,2.109017283,
12-19-2022 10:00:21,No Blocks,73.96412968,12.98700724,1.073373752,
12-19-2022 10:00:22,No Blocks,74.01203316,13.11363313,0.931322688,
12-19-2022 10:00:23,No Blocks,74.04716829,13.02883425,1.139185484,
12-19-2022 10:00:24,No Blocks,73.8654498,13.00007474,1.005349481,
12-19-2022 10:00:25,With Blocks,74.76580948,15.12480951,2.280923185,
12-19-2022 10:00:26,No Blocks,999,999,0.953539551,
12-19-2022 10:00:27,With Blocks,75.03843178,14.96201725,1.989822177,
12-19-2022 10:00:28,No Blocks,74.16181511,12.91527701,0.942411682,
12-19-2022 10:00:29,No Blocks,73.99240869,12.98675284,1.143930967,
12-19-2022 10:00:30,No Blocks,74.20312629,12.90217984,0.935897633,
12-19-2022 10:00:31,No Blocks,74.05204757,12.96193,1.199285194,
12-19-2022 10:00:32,No Blocks,74.16358702,13.05590189,1.056363758,
12-19-2022 10:00:33,With Blocks,74.96616034,15.07636474,2.112744235,
12-19-2022 10:00:34,With Blocks,75.01415712,15.19281341,2.067063791,
12-19-2022 10:00:35,No Blocks,73.98898888,13.03709623,1.109659469,
12-19-2022 10:00:36,With Blocks,74.96018369,14.99145374,2.237328741,
12-19-2022 10:00:37,With Blocks,74.9526079,15.09463409,2.081816158,
12-19-2022 10:00:38,With Blocks,75.15889709,15.0526012,1.753480245,
12-19-2022 10:00:39,With Blocks,74.91474721,15.05117354,2.025777491,
12-19-2022 10:00:40,No Blocks,74.19624474,13.14063149,1.049683373,
12-19-2022 10:00:41,No Blocks,74.00828306,12.84515221,1.186315963,
12-19-2022 10:00:42,With Blocks,0,0,0,
12-19-2022 10:00:43,With Blocks,75.01029542,14.94296539,2.049306216,
12-19-2022 10:00:44,No Blocks,73.92924868,12.8651975,0.824569847,
12-19-2022 10:00:45,No Blocks,73.9636191,12.9372906,1.044015025,
12-19-2022 10:00:46,No Blocks,73.84973589,12.97917646,0.849487454,
12-19-2022 10:00:47,No Blocks,74.18097408,12.98830274,1.122620899,
12-19-2022 10:00:48,With Blocks,75.04949431,15.09085949,1.884578117,
12-19-2022 10:00:49,No Blocks,74.12575555,13.14525324,0.792318851,
12-19-2022 10:00:50,With Blocks,74.9823512,14.93479178,2.01565338,
12-19-2022 10:00:51,No Blocks,73.91497742,13.02790459,1.059709373,
12-19-2022 10:00:52,No Blocks,74.02447167,12.98816535,0.871059212,
12-19-2022 10:00:53,No Blocks,7.51,1.5,0.872097311,
12-19-2022 10:00:54,With Blocks,74.99437728,14.97903197,2.019210156,
12-19-2022 10:00:55,No Blocks,74.09923323,13.05762442,1.130578377,
12-19-2022 10:00:56,With Blocks,74.92706942,14.91354253,1.990507901,
12-19-2022 10:00:57,With Blocks,75.13832139,15.13036814,1.987418782,
12-19-2022 10:00:58,No Blocks,73.94031262,12.84793537,1.06718416,
12-19-2022 10:00:59,No Blocks,74.00228443,12.88222114,0.966542184,
12-19-2022 10:00:60,With Blocks,74.81705448,15.04299896,1.982600654,
12-19-2022 10:00:61,No Blocks,74.16312424,12.8640572,1.097050668,
12-19-2022 10:00:62,No Blocks,74.01436398,13.00826036,1.071666401,
12-19-2022 10:00:63,With Blocks,75.11934839,14.89289381,2.131890221,
12-19-2022 10:00:64,With Blocks,74.87899969,14.89258851,1.932743992,
12-19-2022 10:00:65,With Blocks,75.07364622,14.89300393,2.033471512,
12-19-2022 10:00:66,With Blocks,75.04118826,15.01541202,2.05545707,
12-19-2022 10:00:67,With Blocks,74.88271543,15.10075867,2.011352028,
12-19-2022 10:00:68,No Blocks,74.07300509,12.90164882,1.005203156,
12-19-2022 10:00:69,With Blocks,75.08775994,15.1014141,1.991565159,
12-19-2022 10:00:70,No Blocks,73.81464684,12.89031793,1.021862763,
12-19-2022 10:00:71,With Blocks,75.07942459,15.04631242,1.938736998,
12-19-2022 10:00:72,No Blocks,74.22443998,13.00723476,1.08655144,
12-19-2022 10:00:73,With Blocks,74.95843035,14.88850619,2.068525243,
12-19-2022 10:00:74,No Blocks,74.10376732,13.18222115,0.947101151,
12-19-2022 10:00:75,No Blocks,73.83720333,13.16173024,1.026413674,
12-19-2022 10:00:76,With Blocks,74.88728538,14.94408241,1.919115484,
12-19-2022 10:00:77,With Blocks,75.11610043,15.05921053,2.024274766,
12-19-2022 10:00:78,With Blocks,75.02404775,14.91784996,2.099311213,
12-19-2022 10:00:79,With Blocks,75.03463947,14.97388665,1.981528709,
12-19-2022 10:00:80,With Blocks,74.9898265,14.91129569,2.07413771,
12-19-2022 10:00:81,With Blocks,75.13922079,15.24739003,2.050391924,
12-19-2022 10:00:82,No Blocks,73.91775194,13.02009819,0.899294747,
12-19-2022 10:00:83,No Blocks,73.93868284,12.93410366,0.916677067,
12-19-2022 10:00:84,No Blocks,74.03781793,12.88846574,1.066724135,
12-19-2022 10:00:85,With Blocks,75.07953328,15.10374919,1.997956881,
12-19-2022 10:00:86,No Blocks,74.06189531,13.18030635,1.005299331,
12-19-2022 10:00:87,With Blocks,74.98221099,15.17724826,1.749119639,
12-19-2022 10:00:88,No Blocks,73.95434108,13.24303775,0.952854591,
12-19-2022 10:00:89,No Blocks,73.94396715,12.87735326,1.079295036,
12-19-2022 10:00:90,With Blocks,74.78900596,14.92006049,2.056697509,
12-19-2022 10:00:91,No Blocks,73.99985571,13.06239247,1.012644083,
12-19-2022 10:00:92,No Blocks,74.06808678,12.87125841,1.021808485,
12-19-2022 10:00:93,No Blocks,73.84334329,13.07832819,0.968943009,
12-19-2022 10:00:94,No Blocks,74.06553244,12.94625326,1.03286434,
12-19-2022 10:00:95,No Blocks,74.1054072,12.80203007,0.813261182,
12-19-2022 10:00:96,With Blocks,74.81676443,15.08485921,2.040518726,
12-19-2022 10:00:97,With Blocks,74.9297544,15.1499046,2.013779487,
12-19-2022 10:00:98,With Blocks,74.84131786,14.89808545,1.861476626,
12-19-2022 10:00:99,No Blocks,74.09548864,12.93988797,0.88281092,
12-19-2022 10:00:100,No Blocks,73.94228897,12.91635695,1.085296953,
12-19-2022 10:00:101,With Blocks,75.04773312,15.03023201,2.041577619,
12-19-2022 10:00:102,With Blocks,75.00429748,14.90511468,2.054160837,
12-19-2022 10:00:103,No Blocks,73.91788717,12.8928095,0.892590836,
12-19-2022 10:00:104,No Blocks,74.08695528,13.09810514,0.824117463,
12-19-2022 10:00:105,No Blocks,73.9851904,13.02519417,0.938961537,
12-19-2022 10:00:106,With Blocks,75.07609798,15.02544295,1.984716632,
12-19-2022 10:00:107,No Blocks,73.94425891,13.06770177,1.084929744,
12-19-2022 10:00:108,No Blocks,74.04693072,12.97602183,1.092098545,
12-19-2022 10:00:109,With Blocks,74.90931186,15.01444406,2.139640903,
12-19-2022 10:00:110,With Blocks,74.98103012,14.91561641,2.194343805,
12-19-2022 10:00:111,With Blocks,74.97530785,15.04416192,1.919638852,
12-19-2022 10:00:112,No Blocks,74.02876094,13.04670181,1.000456161,
12-19-2022 10:00:113,No Blocks,74.03260904,13.12045867,0.859588417,
12-19-2022 10:00:114,With Blocks,75.02055636,14.80088042,2.002840893,
12-19-2022 10:00:115,No Blocks,74.19305154,13.09411368,0.999307555,
12-19-2022 10:00:116,No Blocks,73.96617584,13.05282658,1.105689959,
12-19-2022 10:00:117,With Blocks,75.00147406,15.16147613,1.918414504,
12-19-2022 10:00:118,With Blocks,74.80022409,14.92518086,1.980069598,
12-19-2022 10:00:119,No Blocks,73.96272399,12.91526288,1.133723804,
